,Provincia,level_1,ADSL,CABLEMODEM,DIALUP,FIBRAOPTICA,4G,3G,TELEFONIAFIJA,WIRELESS,SATELITAL
44,TIERRA DEL FUEGO,SI,3,2,2.0,2,6,5,3,3,4
38,SANTA CRUZ,SI,5,5,7.0,9,16,15,17,11,22
4,CATAMARCA,SI,7,3,1.0,23,57,29,31,33,48
34,SAN JUAN,SI,9,1,11.0,12,49,41,40,73,18
36,SAN LUIS,SI,10,7,9.0,20,41,28,41,88,18
20,LA PAMPA,SI,10,18,13.0,50,47,31,69,68,60
22,LA RIOJA,SI,13,22,1.0,29,36,14,35,53,16
8,CHUBUT,SI,13,11,15.0,13,38,31,54,31,49
16,FORMOSA,SI,13,3,0.0,16,42,16,30,59,23
42,SANTIAGO DEL ESTERO,SI,14,19,1.0,46,91,41,44,79,81
28,NEUQUEN,SI,17,10,17.0,19,34,20,41,42,36
18,JUJUY,SI,20,15,0.0,44,45,28,36,39,44
12,CORRIENTES,SI,21,9,1.0,12,70,39,51,45,55
30,RIO NEGRO,SI,23,12,21.0,45,65,55,52,80,69
6,CHACO,SI,28,14,1.0,45,75,44,47,46,43
26,MISIONES,SI,29,25,0.0,39,86,40,59,49,26
46,TUCUMAN,SI,30,9,1.0,20,89,70,60,50,15
24,MENDOZA,SI,30,18,28.0,77,128,118,74,106,19
32,SALTA,SI,32,19,1.0,86,88,43,54,70,67
14,ENTRE RIOS,SI,47,39,4.0,44,128,78,128,130,22
2,CABA,SI,48,48,48.0,48,48,48,48,48,48
40,SANTA FE,SI,175,133,3.0,132,296,179,290,250,66
10,CORDOBA,SI,181,89,5.0,172,344,277,310,292,73
1,BUENOS AIRES,SI,355,345,213.0,443,655,590,548,497,157
