id,Año,Trimestre,Provincia,Accesos por cada 100 hogares,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS,Total_velocidad_bajada,Banda ancha fija,Dial up,Total_Bandaancha_bandaangosta
20223BuenosAires,2022,3,Buenos Aires,78.11,29985,27709,290315,297915,267044,12419,3618689,65821.0,4721668,4715469,6199.0,4721668
20223CapitalFederal,2022,3,Capital Federal,122.28,5170,5742,34371,67829,51946,28692,1253105,105477.0,1547679,1545534,2145.0,1547679
20223Catamarca,2022,3,Catamarca,65.33,710,3840,3107,5389,5099,3737,50298,2208.0,70293,70292,1.0,70293
20223Chaco,2022,3,Chaco,43.86,4610,9870,16782,18938,8049,15828,79390,3711.0,144146,144141,5.0,144146
20223Chubut,2022,3,Chubut,84.38,1090,1444,45707,3094,34682,15309,17563,20024.0,165778,164874,904.0,165778
20223Córdoba,2022,3,Córdoba,88.31,990,11312,153324,111615,70989,27112,650344,13873.0,1038668,1038600,68.0,1038668
20223Corrientes,2022,3,Corrientes,48.21,670,3865,23427,23948,7776,21706,56950,7107.0,144846,144842,4.0,144846
20223EntreRíos,2022,3,Entre Ríos,63.67,1070,5549,47210,46855,18263,32021,102195,16759.0,268959,268937,22.0,268959
20223Formosa,2022,3,Formosa,43.76,970,3070,23538,19545,6194,5640,17704,5890.0,68538,68537,1.0,68538
20223Jujuy,2022,3,Jujuy,58.91,580,1879,19135,15254,36083,5190,45895,0.0,118823,118823,0.0,118823
20223LaPampa,2022,3,La Pampa,96.59,680,1887,61540,9653,11592,5609,22731,3012.0,116092,115921,171.0,116092
20223LaRioja,2022,3,La Rioja,80.66,180,6890,2842,3375,24219,5331,50390,0.0,86864,86860,4.0,86864
20223Mendoza,2022,3,Mendoza,51.03,1030,2953,44232,21977,48201,17243,150043,4771.0,289523,288746,777.0,289523
20223Misiones,2022,3,Misiones,51.82,510,3749,36628,20758,12676,19615,80330,835.0,182157,182157,0.0,182157
20223Neuquén,2022,3,Neuquén,80.37,1340,9910,38485,1408,92,67,78713,14858.0,163161,162693,468.0,163161
20223RíoNegro,2022,3,Río Negro,67.98,1110,1221,32936,1786,27934,13629,42596,24271.0,160558,160010,548.0,160558
20223Salta,2022,3,Salta,57.76,1140,149,32923,71199,5662,1001,85661,6491.0,204541,204536,5.0,204541
20223SanJuan,2022,3,San Juan,50.8,240,2027,30324,11247,22157,678,19221,11619.0,103399,103118,281.0,103399
20223SanLuis,2022,3,San Luis,81.74,600,3070,6563,20813,12061,67438,13,14815.0,122070,121888,182.0,122070
20223SantaCruz,2022,3,Santa Cruz,43.19,520,6841,12342,11313,11378,2333,4604,6470.0,49510,49312,198.0,49510
20223SantaFe,2022,3,Santa Fe,78.55,4680,11132,132709,198588,70897,57455,396352,20209.0,887810,887700,110.0,887810
20223SantiagoDelEstero,2022,3,Santiago Del Estero,47.98,1780,1384,28357,58982,16087,9100,12342,7920.0,119032,119030,2.0,119032
20223TierraDelFuego,2022,3,Tierra Del Fuego,99.51,220,8310,12002,14815,20102,1752,1021,3351.0,53896,53584,312.0,53896
20223Tucumán,2022,3,Tucumán,61.14,390,2047,32571,39018,25214,4348,159600,2800.0,263117,263087,30.0,263117
20222BuenosAires,2022,2,Buenos Aires,77.58,30639,28323,295238,307554,273954,129869,3535757,65849.0,4667183,4660984,6199.0,4667183
20222CapitalFederal,2022,2,Capital Federal,121.31,5170,598,36036,72434,55372,31571,1229254,105607.0,1536771,1534626,2145.0,1536771
20222Catamarca,2022,2,Catamarca,62.4,710,4130,3678,6155,7165,3393,43926,2207.0,67008,67007,1.0,67008
20222Chaco,2022,2,Chaco,43.79,4610,1047,17603,20109,8391,15974,76271,3708.0,143564,143559,5.0,143564
20222Chubut,2022,2,Chubut,83.19,1090,1444,45804,31217,3429,14526,15394,20021.0,162805,161901,904.0,162805
20222Córdoba,2022,2,Córdoba,87.48,990,11971,160486,120485,71923,28645,619400,13426.0,1026435,1026367,68.0,1026435
20222Corrientes,2022,2,Corrientes,48.35,670,3937,24253,24842,8001,21719,55071,7107.0,144997,144993,4.0,144997
20222EntreRíos,2022,2,Entre Ríos,63.9,1070,5656,48637,48557,18512,32355,98769,16759.0,269352,269330,22.0,269352
20222Formosa,2022,2,Formosa,43.42,970,4070,23834,19706,633,5910,16326,5900.0,67881,67881,0.0,67881
20222Jujuy,2022,2,Jujuy,57.32,580,1829,19458,1579,37786,5490,37391,2453.0,115314,115314,0.0,115314
20222LaPampa,2022,2,La Pampa,92.98,680,1887,62546,9842,118,5247,17125,3012.0,111527,111356,171.0,111527
20222LaRioja,2022,2,La Rioja,80.14,180,7280,3179,389,23814,5481,48920,0.0,86030,86026,4.0,86030
20222Mendoza,2022,2,Mendoza,49.39,1030,2954,44961,22557,64138,19543,121366,394.0,279562,278785,777.0,279562
20222Misiones,2022,2,Misiones,51.0,510,3808,37254,21712,12774,19757,75107,835.0,178813,178813,0.0,178813
