id,Año,Trimestre,Periodo,Mbps (Media de bajada),Ingresos (miles de pesos),Banda ancha fija,Dial up,Total_acceso_BABA,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total_Acceso_Tipotecnologia
20223,2022,3,Jul-Sept 2022,62.46,67055930,11078691,12437,11091128,1395277,6031970,2871541,557110.0,235230.0,11091128
20222,2022,2,Abr-Jun 2022,58.44,60335724,10946248,12436,10958684,1468333,5979214,2723285,556243.0,231609.0,10958684
20221,2022,1,Ene-Mar 2022,55.11,55589997,10611390,12619,10624009,1533240,6073426,2219533,545814.0,251996.0,10624009
20214,2021,4,Oct-Dic 2021,52.34,45467887,10476933,12861,10489794,1657615,5984240,2072236,523107.0,252596.0,10489794
20213,2021,3,Jul-Sept 2021,48.46,42999944,10075184,10357,10085541,1950631,5826257,1566048,492415.0,250190.0,10085541
20212,2021,2,Abr-Jun 2021,45.63,38239667,9852702,10382,9863084,2018587,5641731,1472246,476968.0,253552.0,9863084
20211,2021,1,Ene-Mar 2021,43.11,36676371,9637956,10016,9647972,2175211,5424782,1362976,434548.0,250455.0,9647972
20204,2020,4,Oct-Dic 2020,42.36,33539703,9561546,10016,9571562,2213949,5371824,1311199,421554.0,253036.0,9571562
20203,2020,3,Jul-Sept 2020,40.67,31997445,9346183,10016,9356199,2263889,5259351,1170879,413259.0,248821.0,9356199
20202,2020,2,Abr-Jun 2020,38.32,32102476,9021040,10016,9031056,2295533,5005115,1106725,376667.0,247016.0,9031056
20201,2020,1,Ene-Mar 2020,37.52,29946216,8802435,9991,8812426,2299457,4903674,1047817,352333.0,209145.0,8812426
20194,2019,4,Oct-Dic 2019,28.26,24169251,8783053,10128,8793181,2414575,4883869,941295,340144.0,213298.0,8793181
20193,2019,3,Jul-Sept 2019,24.18,21652748,9142891,21793,9164684,2909805,4800091,852221,338241.0,264326.0,9164684
20192,2019,2,Abr-Jun 2019,20.33,20743118,8938427,21754,8960181,2990457,4635575,760794,308027.0,265328.0,8960181
20191,2019,1,Ene-Mar 2019,17.38,20207414,8626323,21812,8648135,3132789,4435439,637099,276419.0,166389.0,8648135
20184,2018,4,Oct-Dic 2018,15.95,16637687,8451841,21814,8473655,3329027,4313831,388013,264299.0,178485.0,8473655
20183,2018,3,Jul-Sept 2018,15.36,15410981,8320223,26812,8347035,3521447,4238171,247366,246181.0,93870.0,8347035
20182,2018,2,Abr-Jun 2018,13.85,14319467,8083533,26911,8110444,3557216,4038141,226285,194267.0,94535.0,8110444
20181,2018,1,Ene-Mar 2018,13.22,13171459,8009981,27072,8037053,3574294,3981129,217460,165300.0,98870.0,8037053
20174,2017,4,Oct-Dic 2017,12.01,11226127,7842778,27444,7870222,3584311,3818157,211425,155775.0,100554.0,7870222
20173,2017,3,Jul-Sept 2017,8.34,10065998,7696594,28349,7724943,3622575,3670221,193964,106443.0,131740.0,7724943
20172,2017,2,Abr-Jun 2017,7.16,9678647,7401134,2853,7429664,3723518,3383434,180777,85813.0,56122.0,7429664
20171,2017,1,Ene-Mar 2017,6.62,8701201,7277314,2854,7305854,3708898,3276251,180146,84813.0,55746.0,7305854
20164,2016,4,Oct-Dic 2016,6.34,7483980,7223128,28545,7251673,3722794,3210602,178070,85119.0,55088.0,7251673
20163,2016,3,Jul-Sept 2016,5.94,6912442,7178340,2861,7206950,3776442,3124855,169898,81455.0,54300.0,7206950
20162,2016,2,Abr-Jun 2016,5.42,6534241,7097604,32475,7130079,3782085,3035272,167788,85452.0,59482.0,7130079
20161,2016,1,Ene-Mar 2016,5.08,5936845,6874704,32652,6907356,3792493,2806359,164371,85370.0,58763.0,6907356
20154,2015,4,Oct-Dic 2015,4.99,5376899,6952289,32542,6984831,3803024,2898226,139187,85726.0,58668.0,6984831
20153,2015,3,Jul-Sept 2015,4.79,5153739,6902267,32801,6935068,3788696,2840203,162663,84530.0,58976.0,6935068
20152,2015,2,Abr-Jun 2015,4.55,4701791,6783279,32909,6816188,3767821,2756294,150839,82077.0,59157.0,6816188
20151,2015,1,Ene-Mar 2015,4.35,4876385,6699714,38018,6737732,3756153,2668248,168188,79098.0,66045.0,6737732
20144,2014,4,Oct-Dic 2014,4.16,3950441,6559172,39324,6598496,3764038,2536219,149682,76984.0,71573.0,6598496
20143,2014,3,Jul-Sept 2014,3.87,3478638,6559264,36007,6595271,3714764,2569868,155494,85096.0,70049.0,6595271
20142,2014,2,Abr-Jun 2014,3.76,3270816,6428329,36139,6464468,3708882,2461670,149363,72405.0,72148.0,6464468
20141,2014,1,Ene-Mar 2014,3.62,2984054,6362108,3629,6398398,3697066,2407330,150323,70749.0,72930.0,6398398
