,id,Año,Trimestre,Periodo,Mbps (Media de bajada),Ingresos (miles de pesos),Banda ancha fija,Dial up,Total_acceso_BABA,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total_Acceso_Tipotecnologia,AñoTrimestre,Growth,Banda ancha fija (%),Dial up (%),ADSL (%),Cablemodem (%),Fibra óptica (%),Wireless (%),Otros (%)
34,20141,2014,1,Ene-Mar 2014,3.62,2984054,6362108,3629,6398398,3697066,2407330,150323,70749.0,72930.0,6398398,2014Q1,,0.9943,0.0006,0.577811195864965,0.3762394899473274,0.02349384955421654,0.011057299030163488,0.011398165603327582
33,20142,2014,2,Abr-Jun 2014,3.76,3270816,6428329,36139,6464468,3708882,2461670,149363,72405.0,72148.0,6464468,2014Q2,3.8674033149171283,0.9944,0.0056,0.5737335230060695,0.3808000905875008,0.023105226911170416,0.011200457640133728,0.011160701855125589
32,20143,2014,3,Jul-Sept 2014,3.87,3478638,6559264,36007,6595271,3714764,2569868,155494,85096.0,70049.0,6595271,2014Q3,2.92553191489362,0.9945,0.0055,0.5632466050295735,0.38965313176668553,0.0235765899536198,0.012902578226125961,0.010621095023995223
31,20144,2014,4,Oct-Dic 2014,4.16,3950441,6559172,39324,6598496,3764038,2536219,149682,76984.0,71573.0,6598496,2014Q4,7.4935400516795925,0.994,0.006,0.5704387787762545,0.38436319427942367,0.022684260170802557,0.011666901063515079,0.01084686571000422
30,20151,2015,1,Ene-Mar 2015,4.35,4876385,6699714,38018,6737732,3756153,2668248,168188,79098.0,66045.0,6737732,2015Q1,4.567307692307687,0.9944,0.0056,0.5574803212713121,0.39601575129435246,0.02496210891142598,0.011739558652674223,0.009802259870235266
29,20152,2015,2,Abr-Jun 2015,4.55,4701791,6783279,32909,6816188,3767821,2756294,150839,82077.0,59157.0,6816188,2015Q2,4.597701149425282,0.9952,0.0048,0.5527753929322372,0.4043747032798978,0.02212952459644599,0.012041481250223732,0.008678897941195285
28,20153,2015,3,Jul-Sept 2015,4.79,5153739,6902267,32801,6935068,3788696,2840203,162663,84530.0,58976.0,6935068,2015Q3,5.274725274725278,0.9953,0.0047,0.5463098559379663,0.4095421991536348,0.023455141319450652,0.012188777384735089,0.008504026204213139
27,20154,2015,4,Oct-Dic 2015,4.99,5376899,6952289,32542,6984831,3803024,2898226,139187,85726.0,58668.0,6984831,2015Q4,4.175365344467652,0.9953,0.0047,0.544469007195736,0.4149314421494235,0.01992703903644913,0.012273167382288848,0.008399344236102491
26,20161,2016,1,Ene-Mar 2016,5.08,5936845,6874704,32652,6907356,3792493,2806359,164371,85370.0,58763.0,6907356,2016Q1,1.8036072144288484,0.9953,0.0047,0.5490513302050741,0.4062855599161242,0.023796514903821377,0.012359287692714839,0.008507307282265458
25,20162,2016,2,Abr-Jun 2016,5.42,6534241,7097604,32475,7130079,3782085,3035272,167788,85452.0,59482.0,7130079,2016Q2,6.69291338582676,0.9954,0.0046,0.5304408268127183,0.42569963109805653,0.023532418084007203,0.011984719944898227,0.008342404060319669
24,20163,2016,3,Jul-Sept 2016,5.94,6912442,7178340,2861,7206950,3776442,3124855,169898,81455.0,54300.0,7206950,2016Q3,9.594095940959413,0.996,0.0004,0.5240000277509904,0.4335891049611833,0.023574188803862937,0.011302284600281673,0.007534393883681724
